country,year,filename,description,variable.name
afghanistan,2014,AFH2014_Public_Use.sav,soda,Q9
algeria,2011,DZH2011_Public_Use.sav,soda,Q9
anguilla,2009,AIH2009_Public_Use.sav,soda,Q9
antiguabarbuda,2009,ANH2009_Public_Use.sav,soda,Q9
bangladesh,2014,BDH2014_Public_Use.sav,soda,Q9
bahamas,2013,BSH2013_Public_Use.sav,soda,Q9
barbados,2011,BBH2011_Public_Use.sav,soda,Q9
belize,2011,BZH2011_Public_Use.sav,soda,Q9
benin,2009,BJH2009_Public_Use.sav,soda,Q9
bolivia,2012,BLH2012_Public_Use.sav,soda,Q9
brunei,2014,BUH2014_Public_Use.sav,soda,Q9
bvi,2009,VGH2009_Public_Use.sav,soda,Q9
cambodia,2013,KHH2013_Public_Use.sav,soda,Q9
cookislands,2011,CSH2011_Public_Use.sav,soda,Q9
costarica,2009,CRH2009_Public_Use.sav,soda,Q9
curacao,2015,CWH2015_Public_Use.sav,soda,Q9
dominica,2009,DOH2009_Public_Use.sav,soda,Q9
elsalvador,2013,ESH2013_Public_Use.sav,soda,Q9
fiji,2010,FJH2010_Public_Use.sav,soda,Q9
guatemala,2009,GTH2009_Public_Use.sav,soda,Q9
honduras,2012,HNH2012_Public_Use.sav,soda,Q9
iraq,2012,IQH2012_Public_Use.sav,soda,Q9
jamaica,2010,JMH2010_Public_Use.sav,soda,Q9
kiribati,2011,KIH2011_Public_Use.sav,soda,Q9
kuwait,2011,KWH2011_Public_Use.sav,soda,Q9
laos,2015,LSH2015_Public_Use.sav,soda,Q9
malawi,2009,MWH2009_Public_Use.sav,soda,Q9
malaysia,2012,YSH2012_Public_Use.sav,soda,Q9
maldives,2009,MVH2009_Public_Use.sav,soda,Q9
maldives,2009,MVH2009_Public_Use.sav,soda,Q9
mauritania,2010,MJH2010_Public_Use.sav,soda,Q9
mongolia,2010,MGH2010_Public_Use.sav,soda,Q9
mozambique,2015,MZH2015_Public_Use.sav,soda,Q9
nauru,2011,NRH2011_Public_Use.sav,soda,Q9
niue,2010,NUH2010_Public_Use.sav,soda,Q9
pakistan,2009,PKH2009_Public_Use.sav,soda,Q9
palestine,2010,PLAH2010_Public_Use.sav,soda,Q9
peru,2010,PEH2010_Public_Use.sav,soda,Q9
qatar,2011,QAH2011_Public_Use.sav,soda,Q9
samoa,2011,WSH2011_Public_Use.sav,soda,Q9
solomon,2011,SIH2011_Public_Use.sav,soda,Q9
stkitts,2011,SKH2011_Public_Use.sav,soda,Q9
sudan,2012,SNH2012_Public_Use.sav,soda,Q9
suriname,2009,SMH2009_Public_Use.sav,soda,Q9
syria,2010,SYH2010_Public_Use.sav,soda,Q9
timorleste,2015,TLH2015_Public_Use.sav,soda,Q9
tokelau,2014,TKH2014_Public_Use.sav,soda,Q9
tonga,2010,TOH2010_Public_Use.sav,soda,Q9
tuvalu,2013,TVH2013_Public_Use.sav,soda,Q9
uae,2010,AEH2010_Public_Use.sav,soda,Q9
vanuatu,2011,VUH2011_Public_Use.sav,soda,Q9
vietnam,2013,VNH2013_Public_Use.sav,soda,Q9
wallisfutuna,2015,WFH2015_Public_Use.sav,soda,Q9
algeria,2011,DZH2011_Public_Use.sav,fastfood,Q10
benin,2009,BJH2009_Public_Use.sav,fastfood,Q10
malawi,2009,MWH2009_Public_Use.sav,fastfood,Q10
mauritania,2010,MJH2010_Public_Use.sav,fastfood,Q10
mozambique,2015,MZH2015_Public_Use.sav,fastfood,Q10
anguilla,2009,AIH2009_Public_Use.sav,fastfood,Q10
antiguabarbuda,2009,ANH2009_Public_Use.sav,fastfood,Q10
barbados,2011,BBH2011_Public_Use.sav,fastfood,Q10
belize,2011,BZH2011_Public_Use.sav,fastfood,Q10
bolivia,2012,BLH2012_Public_Use.sav,fastfood,Q10
bvi,2009,VGH2009_Public_Use.sav,fastfood,Q10
costarica,2009,CRH2009_Public_Use.sav,fastfood,Q10
curacao,2015,CWH2015_Public_Use.sav,fastfood,Q10
dominica,2009,DOH2009_Public_Use.sav,fastfood,Q10
elsalvador,2013,ESH2013_Public_Use.sav,fastfood,Q10
guatemala,2009,GTH2009_Public_Use.sav,fastfood,Q10
honduras,2012,HNH2012_Public_Use.sav,fastfood,Q10
jamaica,2010,JMH2010_Public_Use.sav,fastfood,Q10
peru,2010,PEH2010_Public_Use.sav,fastfood,Q10
stkitts,2011,SKH2011_Public_Use.sav,fastfood,Q10
suriname,2009,SMH2009_Public_Use.sav,fastfood,Q10
bangladesh,2014,BDH2014_Public_Use.sav,fastfood,Q10
maldives,2009,MVH2009_Public_Use.sav,fastfood,Q10
timorleste,2015,TLH2015_Public_Use.sav,fastfood,Q10
afghanistan,2014,AFH2014_Public_Use.sav,fastfood,Q10
iraq,2012,IQH2012_Public_Use.sav,fastfood,Q10
kuwait,2011,KWH2011_Public_Use.sav,fastfood,Q10
palestine,2010,PLAH2010_Public_Use.sav,fastfood,Q10
pakistan,2009,PKH2009_Public_Use.sav,fastfood,Q10
qatar,2011,QAH2011_Public_Use.sav,fastfood,Q10
sudan,2012,SNH2012_Public_Use.sav,fastfood,Q10
syria,2010,SYH2010_Public_Use.sav,fastfood,Q10
uae,2010,AEH2010_Public_Use.sav,fastfood,Q10
brunei,2014,BUH2014_Public_Use.sav,fastfood,Q10
cambodia,2013,KHH2013_Public_Use.sav,fastfood,Q10
cookislands,2011,CSH2011_Public_Use.sav,fastfood,Q10
fiji,2010,FJH2010_Public_Use.sav,fastfood,Q10
kiribati,2011,KIH2011_Public_Use.sav,fastfood,Q10
laos,2015,LSH2015_Public_Use.sav,fastfood,Q10
malaysia,2012,YSH2012_Public_Use.sav,fastfood,Q10
mongolia,2010,MGH2010_Public_Use.sav,fastfood,Q10
nauru,2011,NRH2011_Public_Use.sav,fastfood,Q10
niue,2010,NUH2010_Public_Use.sav,fastfood,Q10
samoa,2011,WSH2011_Public_Use.sav,fastfood,Q10
solomon,2011,SIH2011_Public_Use.sav,fastfood,Q10
tokelau,2014,TKH2014_Public_Use.sav,fastfood,Q10
tonga,2010,TOH2010_Public_Use.sav,fastfood,Q10
tuvalu,2013,TVH2013_Public_Use.sav,fastfood,Q10
vanuatu,2011,VUH2011_Public_Use.sav,fastfood,Q10
vietnam,2013,VNH2013_Public_Use.sav,fastfood,Q10
wallisfutuna,2015,WFH2015_Public_Use.sav,fastfood,Q10
bahamas,2013,BSH2013_Public_Use.sav,fastfood,Q10
algeria,2011,DZH2011_Public_Use.sav,soap,Q14
benin,2009,BJH2009_Public_Use.sav,soap,Q14
